Name,"Full name","Description","Location","Coordinates","URL","Version","DNSSEC validation","No logs","Namecoin","Resolver address","Provider name","Provider public key","Provider public key TXT record"
d0wn-is-ns2,"D0wn Resolver Iceland 02","Server provided by Martin 'd0wn' Albus","Iceland","","https://dns.d0wn.biz","1","yes","yes","no","93.95.226.165:1053","2.dnscrypt-cert.is2.d0wn.biz","8460:34A9:C630:CA3C:04AC:4A90:1625:F17A:87B2:ACB9:4180:AC48:1E2C:10E8:CEDE:1A6F","pubkey.is2.dnscrypt.d0wn.biz"
d0wn-lv-ns1,"D0wn Resolver Latvia 01","Server provided by Martin 'd0wn' Albus","Latvia","","https://dns.d0wn.biz","1","yes","yes","no","89.111.13.60:443","2.dnscrypt-cert.lv.d0wn.biz","9AC3:6B4C:7ADB:E7D6:D697:B6BF:151C:151A:B291:8C5D:B912:15F8:B986:5926:33A4:A5E1","pubkey.lv.dnscrypt.d0wn.biz"
d0wn-lv-ns2,"D0wn Resolver Latvia 02","Server provided by Martin 'd0wn' Albus","Latvia","","https://dns.d0wn.biz","1","yes","yes","no","185.86.151.28:443","2.dnscrypt-cert.lv2.d0wn.biz","B111:F80C:E3E0:1C36:CC73:0995:009E:6351:EF08:0503:309D:9417:7AA3:8C67:916D:0CDF","pubkey.lv.dnscrypt.d0wn.biz"
d0wn-mx-ns1,"D0wn Resolver Mexico 01","Server provided by Martin 'd0wn' Albus","Mexico","","https://dns.d0wn.biz","1","yes","yes","no","201.131.126.212:443","2.dnscrypt-cert.mx.d0wn.biz","999E:63F0:0DE7:C171:3A72:5625:2A3F:097B:EC3A:D28F:BE28:7569:5C37:E80D:3D55:4FD0","pubkey.mx.dnscrypt.d0wn.biz"
d0wn-random-ns1,"D0wn Resolver Moldova Random 01","Server provided by Martin 'd0wn' Albus","Moldova","","https://dns.d0wn.biz","1","yes","yes","no","178.17.170.133:443","2.dnscrypt-cert.random.d0wn.biz","A420:867F:ED5C:024C:C86A:EECE:AA05:194B:017F:D2FF:9E72:385A:874F:8CE5:6832:ED2E","pubkey.random.dnscrypt.d0wn.biz"
d0wn-random-ns2,"D0wn Resolver Netherlands Random 02","Server provided by Martin 'd0wn' Albus","Netherlands","","https://dns.d0wn.biz","1","yes","yes","no","185.14.29.140:1053","2.dnscrypt-cert.random2.d0wn.biz","7D73:F486:3C01:4CC9:B278:D107:F254:7A4F:1EA2:1081:07B0:CB82:645A:D8A4:B98A:B327","pubkey.random2.dnscrypt.d0wn.biz"
d0wn-ru-ns1,"D0wn Resolver Russia 01","Server provided by Martin 'd0wn' Albus","Russia","","https://dns.d0wn.biz","1","yes","yes","no","91.214.71.181:443","2.dnscrypt-cert.ru.d0wn.biz","0ECA:BC40:E0A1:335F:0221:4240:AB86:2919:D16A:2393:CCEB:4B40:9EB9:4F24:3077:ED99","pubkey.ru.dnscrypt.d0wn.biz"
d0wn-se-ns1,"D0wn Resolver Sweden 01","Server provided by Martin 'd0wn' Albus","Sweden","","https://dns.d0wn.biz","1","yes","yes","no","95.215.44.124:443","2.dnscrypt-cert.se.d0wn.biz","9D4F:762B:DD24:F77A:64B4:7E0F:F5C6:93FD:A02A:39E9:8FEC:0CEE:F252:3A5F:A403:C032","pubkey.se.dnscrypt.d0wn.biz"
d0wn-se-ns2,"D0wn Resolver Sweden 02","Server provided by Martin 'd0wn' Albus","Sweden","","https://dns.d0wn.biz","1","yes","yes","no","31.220.5.186:443","2.dnscrypt-cert.se2.d0wn.biz","C57D:D6A4:178E:ADE2:D0C0:B138:A4D4:074A:DF59:1488:8711:5CAC:EB60:A37B:3492:DA15","pubkey.se2.dnscrypt.d0wn.biz"
d0wn-tz-ns1,"D0wn Resolver Tanzania 01","Server provided by Martin 'd0wn' Albus","Tanzania","","https://dns.d0wn.biz","1","yes","yes","no","41.79.69.13:443","2.dnscrypt-cert.tz.d0wn.biz","D606:15FB:D145:3BA1:4E76:8A3E:5C5C:B3AC:1746:1331:463D:A0AF:8CF7:DF04:DA4D:756D","pubkey.tz.dnscrypt.d0wn.biz"
d0wn-us-ns4,"D0wn Resolver United States of America 04","Server provided by Martin 'd0wn' Albus","United States of America","","https://dns.d0wn.biz","1","yes","yes","no","107.181.168.52:443","2.dnscrypt-cert.us4.d0wn.biz","F392:5D53:A315:66C2:ACF2:B2D2:8A69:6739:B066:1B8C:EF1B:3AFD:E828:0D83:D4EA:6D7D","pubkey.us4.dnscrypt.d0wn.biz"
dns.btr.zone,"BTR.Zone DNSCrypt resolver","Free of logs and censors by BTR.Zone","Falkenstein, Germany","","https://btr.zone","1","yes","yes","no","94.130.67.138:443","2.dnscrypt-cert.dns.btr.zone","99DA:E67E:C45B:8659:0E0D:4F65:337C:05B4:FACF:3568:382C:210D:2CD2:3A84:EFB4:7D32","pk.dns.btr.zone"
dnscrypt.ca-1,"dnscrypt.ca Server 1","Uncensored DNSSEC validating and log-free","Montreal, Canada","","https://dnscrypt.ca/","1","yes","yes","no","199.167.130.118:5353","2.dnscrypt-cert.dnscrypt.ca-1","74F7:4555:17BC:26F7:1177:E56D:7293:2788:6C72:915B:3F46:2830:3F91:0C47:C38E:8279","1.pk.dnscrypt.ca"
dnscrypt.ca-2,"dnscrypt.ca Server 2","Uncensored DNSSEC validating and log-free","Montreal, Canada","","https://dnscrypt.ca/","1","yes","yes","no","199.167.128.112:5353","2.dnscrypt-cert.dnscrypt.ca-2","43D5:2C82:5922:96C2:DB6F:8D48:CE22:4FDC:C726:26E1:06F6:E388:6193:FA00:9029:631B","2.pk.dnscrypt.ca"
dnscrypt.ca-3,"dnscrypt.ca Server 3","Uncensored DNSSEC validating and log-free","Ottawa, Canada","","https://dnscrypt.ca/","1","yes","yes","no","69.165.220.221:5353","2.dnscrypt-cert.dnscrypt.ca-3","1F98:87D8:4EDC:C5C7:A123:C862:0A6D:4B6B:CB91:45A1:994F:6BF6:6643:EB2C:9E33:DE5B","3.pk.dnscrypt.ca"
dnscrypt.eu-dk,"DNSCrypt.eu Denmark","Free, non-logged, uncensored. Hosted by Netgroup.","Denmark","","https://dnscrypt.eu","1","yes","yes","no","77.66.84.233","2.dnscrypt-cert.resolver2.dnscrypt.eu","3748:5585:E3B9:D088:FD25:AD36:B037:01F5:520C:D648:9E9A:DD52:1457:4955:9F0A:9955","pubkey.resolver2.dnscrypt.eu"
dnscrypt.eu-dk-port5353,"DNSCrypt.eu Denmark (port 5353)","Free, non-logged, uncensored. Hosted by Netgroup.","Denmark","","https://dnscrypt.eu","1","yes","yes","no","77.66.84.233:5353","2.dnscrypt-cert.resolver2.dnscrypt.eu","3748:5585:E3B9:D088:FD25:AD36:B037:01F5:520C:D648:9E9A:DD52:1457:4955:9F0A:9955","pubkey.resolver2.dnscrypt.eu"
dnscrypt.eu-nl,"DNSCrypt.eu Holland","Free, non-logged, uncensored. Hosted by RamNode.","Netherlands","","https://dnscrypt.eu","1","yes","yes","no","176.56.237.171","2.dnscrypt-cert.resolver1.dnscrypt.eu","67C0:0F2C:21C5:5481:45DD:7CB4:6A27:1AF2:EB96:9931:40A3:09B6:2B8D:1653:1185:9C66","pubkey.resolver1.dnscrypt.eu"
dnscrypt.eu-nl-port5353,"DNSCrypt.eu Holland (port 5353)","Free, non-logged, uncensored. Hosted by RamNode.","Netherlands","","https://dnscrypt.eu","1","yes","yes","no","176.56.237.171:5353","2.dnscrypt-cert.resolver1.dnscrypt.eu","67C0:0F2C:21C5:5481:45DD:7CB4:6A27:1AF2:EB96:9931:40A3:09B6:2B8D:1653:1185:9C66","pubkey.resolver1.dnscrypt.eu"
dnscrypt.nl-ns0,"DNSCrypt.nl The Netherlands (NL)","Public DNSCrypt server in Amsterdam, the Netherlands","Netherlands","","https://dnscrypt.nl","1","yes","yes","no","45.76.35.212","2.dnscrypt-cert.ns0.dnscrypt.nl","4C84:FB8C:0511:5DFA:5F97:C5ED:0329:1370:C78A:BCD6:4E15:DD53:AB08:DE72:FB84:4ACA","pkey.ns0.dnscrypt.nl"
fvz-anyone,"Primary OpenNIC Anycast DNS Resolver","Fusl's public primary OpenNIC Tier2 Anycast DNS Resolver","Anycast","","http://dnsrec.meo.ws/","1","no","yes","no","185.121.177.177","2.dnscrypt-cert.dnsrec.meo.ws","1A6A:D0A3:2B4C:5A61:A695:D153:670D:69AB:1690:3F9E:C3F7:F64F:13E5:35A3:18B2:28A5",""
fvz-anytwo,"Secondary OpenNIC Anycast DNS Resolver","Fusl's public secondary OpenNIC Tier2 Anycast DNS Resolver","Anycast","","http://dnsrec.meo.ws/","1","no","yes","no","169.239.202.202","2.dnscrypt-cert.dnsrec.meo.ws","1A6A:D0A3:2B4C:5A61:A695:D153:670D:69AB:1690:3F9E:C3F7:F64F:13E5:35A3:18B2:28A5",""
fvz-rec-at-vie-01,"opennic-fvz-rec-at-vie-01 in Vienna, Austria","Fusl's public OpenNIC Tier2 DNS Resolver in Vienna, Austria - Sponsored by dediserve (https://dediserve.com/)","Vienna, Austria","","http://meo.ws/dnsrec.php","1","no","yes","yes","79.133.43.124","2.dnscrypt-cert.fvz-rec-at-vie-01.dnsrec.meo.ws","8D64:21DA:85D0:11B2:5056:319C:A81B:C6BB:EABC:0790:3CED:1469:EA4B:91A7:9568:C6BC",""
fvz-rec-ca-mtr-01,"opennic-fvz-rec-ca-mtr-01 in Montreal, Canada","Fusl's public OpenNIC Tier2 DNS Resolver in Montreal, Canada - Sponsored by Zappie Host (https://zappiehost.com/)","Montreal, Canada","","http://meo.ws/dnsrec.php","1","no","yes","yes","192.99.240.129","2.dnscrypt-cert.fvz-rec-ca-mtr-01.dnsrec.meo.ws","71D3:851D:9FBA:4A03:1526:2D29:CAAF:56B8:60D8:4439:1AED:5C6A:CAB4:9397:D31C:757E",""
fvz-rec-ca-tor-01,"opennic-fvz-rec-ca-tor-01 in Toronto, Canada","Fusl's public OpenNIC Tier2 DNS Resolver in Toronto, Canada - Sponsored by Luna Node (https://lunanode.com/)","Toronto, Canada","","http://meo.ws/dnsrec.php","1","no","yes","yes","172.81.176.146","2.dnscrypt-cert.fvz-rec-ca-tor-01.dnsrec.meo.ws","0F75:DB7D:7BF0:B078:8DF6:8472:7B1A:5069:A6EC:BDDF:FD0D:0E85:5C45:B500:D532:994F",""
fvz-rec-de-fra-01,"opennic-fvz-rec-de-fra-01 in Frankfurt, Germany","Fusl's public OpenNIC Tier2 DNS Resolver in Frankfurt, Germany - Sponsored by a very kind person","Frankfurt, Germany","","http://meo.ws/dnsrec.php","1","no","yes","yes","185.97.7.7","2.dnscrypt-cert.fvz-rec-de-fra-01.dnsrec.meo.ws","9FCC:EB74:6856:238D:AC57:428B:DE4F:D9C6:E736:5370:E9F9:5415:3BD3:6EBE:A8C2:FAFE",""
