fvz-rec-fi-ulv-01,"opennic-fvz-rec-fi-ulv-01 in Ulvila Finland","Fusl s public OpenNIC Tier2 DNS Resolver in Ulvila Finland - Sponsored by xx.or.at (https://xx.or.at)","Ulvila Finland","",http://meo.ws/dnsrec.php,1,no,yes,yes,95.175.99.231:443,2.dnscrypt-cert.fvz-rec-fi-ulv-01.dnsrec.meo.ws,8458:11E2:D322:DAA3:1544:960B:F6C3:000E:910A:C1A6:DE38:8D94:BD1D:EDEA:B60F:0560,
fvz-rec-fr-sxb-01,"opennic-fvz-rec-fr-sxb-01 in Strasbourg France","Fusl s public OpenNIC Tier2 DNS Resolver in Strasbourg France - Sponsored by GalaxyHostPlus (https://galaxyhostplus.com/)","Strasbourg France","",http://meo.ws/dnsrec.php,1,no,yes,yes,51.254.68.187:27015,2.dnscrypt-cert.fvz-rec-fr-sxb-01.dnsrec.meo.ws,53E7:3A2C:7EB2:C574:0C2B:8826:56EF:13CF:FA3F:1B3F:A902:7773:E0F1:A9D2:0CD7:E037,
fvz-rec-gb-lon-01,"opennic-fvz-rec-gb-lon-01 in London United Kingdom","Fusl s public OpenNIC Tier2 DNS Resolver in London United Kingdom - Sponsored by Konsole (https://konsole.co.uk/)","London United Kingdom","",http://meo.ws/dnsrec.php,1,no,yes,yes,93.170.96.119:443,2.dnscrypt-cert.fvz-rec-gb-lon-01.dnsrec.meo.ws,DDD8:847B:B3E8:DDE2:AB59:DB53:5381:8024:2032:E3FD:C5A2:C48A:C527:B77F:15CC:D28C,
fvz-rec-gb-lon-02,"opennic-fvz-rec-gb-lon-02 in London United Kingdom","Fusls public OpenNIC Tier2 DNS Resolver in London United Kingdom - Sponsored by Ryan (https://twitter.com/rmlhhd)","London United Kingdom","",http://meo.ws/dnsrec.php,1,no,yes,yes,185.116.236.34:443,2.dnscrypt-cert.fvz-rec-gb-lon-02.dnsrec.meo.ws,C3A8:38F6:5876:29C4:5E7D:9AA8:CF68:6884:C4A8:C246:E465:4BA7:4490:9AA5:9850:7657,
fvz-rec-hk-ztw-01,"opennic-fvz-rec-hk-ztw-01 in Tsuen Wan Hong Kong","Fusl s public OpenNIC Tier2 DNS Resolver in Tsuen Wan Hong Kong - Sponsored by dediserve (https://dediserve.com/)","Tsuen Wan Hong Kong","",http://meo.ws/dnsrec.php,1,no,yes,yes,103.53.199.71:443,2.dnscrypt-cert.fvz-rec-hk-ztw-01.dnsrec.meo.ws,FD3A:5CE0:FD44:D174:681F:F008:7958:9EC8:8D4B:B2D9:32A2:2746:FEAD:77F7:3992:33FA,
fvz-rec-ie-du-01,"OpenNIC fvz-rec-ie-du-01 in Dublin Ireland","Fusl s public OpenNIC Tier2 DNS Resolver in Dublin Ireland","Dublin Ireland","",http://meo.ws/dnsrec.php,1,no,yes,yes,217.78.6.191:443,2.dnscrypt-cert.fvz-rec-ie-du-01.dnsrec.meo.ws,DCAF:BA31:C7A9:5F68:FE40:3C69:FE1A:CFF5:CD4C:400D:7DE7:7DEA:1AF4:8F8D:7669:8DFB,
fvz-rec-lt-vno-01,"opennic-fvz-rec-lt-vno-01 in Vilnius Lithuania","Fusl s public OpenNIC Tier2 DNS Resolver in Vilnius Lithuania - Time4VPS (http://www.time4vps.eu/)","Vilnius Lithuania","",http://meo.ws/dnsrec.php,1,no,yes,yes,185.81.165.90:443,2.dnscrypt-cert.fvz-rec-lt-vno-01.dnsrec.meo.ws,2E43:CF13:581E:B6C3:4682:E9FC:2197:B6D4:F815:8941:49ED:E47D:27BA:1781:4DDD:9B1F,
fvz-rec-nl-ams-01,"opennic-fvz-rec-nl-ams-01 in Amsterdam Netherlands","Fusl s public OpenNIC Tier2 DNS Resolver in Amsterdam Netherlands - Sponsored by dediserve (https://dediserve.com/)","Amsterdam Netherlands","",http://meo.ws/dnsrec.php,1,no,yes,yes,93.158.205.94:443,2.dnscrypt-cert.fvz-rec-nl-ams-01.dnsrec.meo.ws,7B81:4CB7:D323:CCAB:EA4E:8BBA:0A44:2172:F909:62E8:699C:3B14:2DAB:8B51:D2E2:083C,
fvz-rec-nl-dro-01,"opennic-fvz-rec-nl-dro-01 in Dronten Netherlands","Fusl s public OpenNIC Tier2 DNS Resolver in Dronten Netherlands - Sponsored by evoBurst (http://www.evoburst.com/)","Dronten Netherlands","",http://meo.ws/dnsrec.php,1,no,yes,yes,31.220.117.27:443,2.dnscrypt-cert.fvz-rec-nl-dro-01.dnsrec.meo.ws,876B:0164:59E9:B1A1:6CBB:AA15:32DF:659F:5670:D013:5F85:65BF:0594:6139:C2F5:2502,
fvz-rec-nl-fl-01,"OpenNIC fvz-rec-nl-fl-01 in Dronten Netherlands","Fusl s public OpenNIC Tier2 DNS Resolver in Dronten Netherlands","Dronten Netherlands","",http://meo.ws/dnsrec.php,1,no,yes,yes,31.220.43.191:443,2.dnscrypt-cert.fvz-rec-nl-fl-01.dnsrec.meo.ws,F16D:5E33:1337:8AB0:7B02:64BB:BB4C:DD0E:B924:C9BA:96E6:8B10:9EA3:A870:C19F:F75E,
fvz-rec-no-osl-01,"opennic-fvz-rec-no-osl-01 in Oslo Norway","Fusls public OpenNIC Tier2 DNS Resolver in Oslo Norway - Cloud.net (https://cloud.net/)","Oslo Norway","",http://meo.ws/dnsrec.php,1,no,yes,yes,91.247.228.155:443,2.dnscrypt-cert.fvz-rec-no-osl-01.dnsrec.meo.ws,0D0C:CDB0:DAF0:2EDF:E340:2251:D9CA:9EAE:BFD0:6F00:7A00:560C:FD53:78D1:2CE3:F4AA,
fvz-rec-nz-akl-01,"opennic-fvz-rec-nz-akl-01 in Auckland New Zealand","Fusl s public OpenNIC Tier2 DNS Resolver in Auckland New Zealand - Sponsored by Zappie Host (https://zappiehost.com/)","Auckland New Zealand","",http://meo.ws/dnsrec.php,1,no,yes,yes,185.99.132.5:443,2.dnscrypt-cert.fvz-rec-nz-akl-01.dnsrec.meo.ws,D7F2:D231:33BD:2A55:DF4F:C2E8:53FC:43C3:525F:423A:518F:0DC4:5A67:9E35:D940:314B,
fvz-rec-ro-buh-01,"opennic-fvz-rec-ro-buh-01 in Bucharest Romania","Fusl s public OpenNIC Tier2 DNS Resolver in Bucharest Romania - HostClean.net (http://www.hostclean.net/)","Bucharest Romania","",http://meo.ws/dnsrec.php,1,no,yes,yes,89.34.26.150:443,2.dnscrypt-cert.fvz-rec-ro-buh-01.dnsrec.meo.ws,EAA2:541A:F705:0D97:7F8C:D5B0:7B8D:D0AD:849A:653C:9E69:C02C:AB8D:FA5B:6F99:7B96,
fvz-rec-ru-led-01,"opennic-fvz-rec-ru-led-01 in Saint Petersburg Russia","Fusl s public OpenNIC Tier2 DNS Resolver in Saint Petersburg Russia - vStoike (http://vstoike.com/)","Saint Petersburg Russia","",http://meo.ws/dnsrec.php,1,no,yes,yes,94.242.57.130:443,2.dnscrypt-cert.fvz-rec-ru-led-01.dnsrec.meo.ws,1517:7552:72AE:632E:3844:F13F:6476:1A4E:AB4D:289D:92C2:FEF0:DC96:17F8:DA28:6E1F,
fvz-rec-sg-ea-01,"OpenNIC fvz-rec-sg-ea-01 in Chai Chee Singapore","Fusl s public OpenNIC Tier2 DNS Resolver in Chai Chee Singapore","Chai Chee Singapore","",http://meo.ws/dnsrec.php,1,no,yes,yes,103.25.202.192:443,2.dnscrypt-cert.fvz-rec-sg-ea-01.dnsrec.meo.ws,8D5C:A731:359C:C660:89D6:19D0:0947:4F5F:FEC7:BFD9:9CA8:E595:4DE2:A1FE:E0F9:8F01,
fvz-rec-us-dal-01,"opennic-fvz-rec-us-dal-01 in Dallas United States","Fusl s public OpenNIC Tier2 DNS Resolver in Dallas United States - Sponsored by Elasticnode (https://www.elasticnode.net/)","Dallas United States","",http://meo.ws/dnsrec.php,1,no,yes,yes,45.35.66.151:443,2.dnscrypt-cert.fvz-rec-us-dal-01.dnsrec.meo.ws,690D:F9B7:49C4:B968:0850:04BC:8447:D657:4D1D:205B:75F5:503E:9FC5:4416:5A1F:CE46,
fvz-rec-us-lax-01,"opennic-fvz-rec-us-lax-01 in Los Angeles United States","Fusl s public OpenNIC Tier2 DNS Resolver in Los Angeles United States - Sponsored by evoBurst (http://evoburst.com/)","Los Angeles United States","",http://meo.ws/dnsrec.php,1,no,yes,yes,198.96.89.143:443,2.dnscrypt-cert.fvz-rec-us-lax-01.dnsrec.meo.ws,DB55:4132:4B48:5FB5:2F34:7B22:9CA5:784C:AB24:FBF2:9A96:0894:A6E3:EA93:FEA6:1DD5,
fvz-rec-us-ler-01,"opennic-fvz-rec-us-ler-01 in Lenoir United States","Fusl s public OpenNIC Tier2 DNS Resolver in Lenoir United States - Sponsored by Zappie Host (https://zappiehost.com/)","Lenoir United States","",http://meo.ws/dnsrec.php,1,no,yes,yes,192.209.63.8:443,2.dnscrypt-cert.fvz-rec-us-ler-01.dnsrec.meo.ws,962D:FF03:6864:E891:0885:91AC:C207:1E38:0D94:1531:7123:3D32:9A25:DB25:CDD2:7EBE,
fvz-rec-us-mia-01,"opennic-fvz-rec-us-mia-01 in Miami United States","Fusl s public OpenNIC Tier2 DNS Resolver in Miami United States - Sponsored by evoBurst (http://evoburst.com/)","Miami United States","",http://meo.ws/dnsrec.php,1,no,yes,yes,173.44.61.182:443,2.dnscrypt-cert.fvz-rec-us-mia-01.dnsrec.meo.ws,B864:FA77:A58F:F757:6B53:1086:BDF0:6B2F:7D33:1D09:E561:236E:A9ED:557F:F6C3:B7F1,
fvz-rec-us-sea-01,"opennic-fvz-rec-us-sea-01 in Seattle United States","Fusl s public OpenNIC Tier2 DNS Resolver in Seattle United States - Sponsored by Smiba","Seattle United States","",http://meo.ws/dnsrec.php,1,no,yes,yes,23.226.230.72:443,2.dnscrypt-cert.fvz-rec-us-sea-01.dnsrec.meo.ws,B00D:7AC0:1927:F4F7:519D:A0F1:CC8B:52B7:B331:815C:8D8E:6E30:49C4:FEDA:558A:A453,
nawala,"Nawala","Server in Indonesia filtering questionable content","Indonesia","",http://www.nawala.id,1,no,no,no,180.131.144.144:443,2.dnscrypt-cert.nawala.org,D421:E4B0:496A:28D7:8DB5:4CF2:18EA:931D:3D78:A5B9:9602:A612:AD2B:95C9:EE6E:6004,
ns0.dnscrypt.is,"ns0.dnscrypt.is in Reykjavík Iceland","DNSSEC enabled non-logging uncensored. Sponsored by 1984 Hosting.","Reykjavík Iceland","",https://dnscrypt.is,1,yes,yes,no,93.95.228.87:443,2.dnscrypt-cert.ns0.dnscrypt.is,EE41:6A83:451C:218F:37B2:B736:78C4:999F:7DE6:89D1:31D2:7866:7C8E:A8BB:1C95:B402,pubkey.ns0.dnscrypt.is
okturtles,"okTurtles","For a surveillance-free world. HTTPS is broken. DNSChain fixes it.","Georgia US","33.032501 -83.895699",http://okturtles.com/,1,no,yes,no,23.226.227.93:443,2.dnscrypt-cert.okturtles.com,1D85:3953:E34F:AFD0:05F9:4C6F:D1CC:E635:D411:9904:0D48:D19A:5D35:0B6A:7C81:73CB,
okturtles,"okTurtles","For a surveillance-free world. HTTPS is broken. DNSChain fixes it.","Georgia US","33.032501 -83.895699",http://okturtles.com/,1,no,yes,no,23.226.227.93:443,2.dnscrypt-cert.okturtles.com,1D85:3953:E34F:AFD0:05F9:4C6F:D1CC:E635:D411:9904:0D48:D19A:5D35:0B6A:7C81:73CB,
opennic-famicoman,"Famicoman","OpenNIC DNS server with DNSCrypt support","Netherlands","",http://opennic.peer3.famicoman.phillymesh.net,1,no,yes,no,146.185.176.36:5353,2.dnscrypt-cert.opennic.peer3.famicoman.phillymesh.net,B88F:4860:5517:3696:A3D2:BFE0:ECC7:6175:198F:E012:E101:B4FE:869C:1E9C:4C35:E74F,
opennic-fvz-rec-au-nsw-01,"OpenNIC fvz-rec-au-nsw-01 in Sydney Australia","Fusl s public OpenNIC Tier2 DNS Resolver in Sydney Australia","Sydney Australia","",http://meo.ws/dnsrec.php,1,no,yes,yes,163.47.20.30:443,2.fvz-rec-au-nsw-01.dnscrypt-cert.meo.ws,8DBC:4DF7:3850:9645:16B7:C8D7:4A93:8796:5E8B:D881:7A02:59FB:FE29:73D6:EE5B:BC58,
opennic-fvz-rec-au-sa-01,"OpenNIC fvz-rec-au-sa-01 in Adelaide Australia","Fusl s public OpenNIC Tier2 DNS Resolver in Adelaide Australia","Adelaide Australia","",http://meo.ws/dnsrec.php,1,no,yes,yes,103.25.56.238:443,2.fvz-rec-au-sa-01.dnscrypt-cert.meo.ws,200C:CB86:169D:57B4:D7D1:2D36:37A8:BF86:720C:DBEF:7F7F:8146:FFCD:CC00:385D:1F37,
opennic-fvz-rec-au-vic-01,"OpenNIC fvz-rec-au-vic-01 in Melbourne Australia","Fusl s public OpenNIC Tier2 DNS Resolver in Melbourne Australia","Melbourne Australia","",http://meo.ws/dnsrec.php,1,no,yes,yes,111.223.227.125:443,2.fvz-rec-au-vic-01.dnscrypt-cert.meo.ws,2CB6:7A7A:8CA5:FB21:3821:A49B:58F8:2ED1:5B77:7439:1D63:399E:66C6:F971:B9C4:78D2,
opennic-fvz-rec-au-wa-01,"OpenNIC fvz-rec-au-wa-01 in Perth Australia","Fusl s public OpenNIC Tier2 DNS Resolver in Perth Australia","Perth Australia","",http://meo.ws/dnsrec.php,1,no,yes,yes,103.241.0.207:443,2.fvz-rec-au-wa-01.dnscrypt-cert.meo.ws,9F8B:5318:2261:3A0B:4442:AE99:D3AF:8A4F:D6C6:5807:C5D8:EBD3:70A9:FF9E:BAE8:20FD,
opennic-fvz-rec-be-vwv-01,"OpenNIC fvz-rec-be-vwv-01 in Oostkamp Belgium","Fusl s public OpenNIC Tier2 DNS Resolver in Oostkamp Belgium","Oostkamp Belgium","",http://meo.ws/dnsrec.php,1,no,yes,yes,192.71.249.249:443,2.fvz-rec-be-vwv-01.dnscrypt-cert.meo.ws,26B5:70B0:0699:F86D:524D:706D:AE2B:4873:4309:E5C2:E937:23A2:8D76:F4F0:433A:7DB5,
opennic-fvz-rec-ca-on-01,"OpenNIC fvz-rec-ca-on-01 in Toronto Canada","Fusls public OpenNIC Tier2 DNS Resolver in Toronto Canada","Toronto Canada","",http://meo.ws/dnsrec.php,1,no,yes,yes,69.28.67.83:443,2.fvz-rec-ca-on-01.dnscrypt-cert.meo.ws,8EE0:828C:9F1C:DEB7:6ECB:E4FE:A219:F34A:0B1C:4E8E:CE86:BA63:F135:EE76:C27A:E394,
opennic-fvz-rec-ch-zu-01,"OpenNIC fvz-rec-ch-zu-01 in Zurich Switzerland","Fusl s public OpenNIC Tier2 DNS Resolver in Zurich Switzerland","Zurich Switzerland","",http://meo.ws/dnsrec.php,1,no,yes,yes,192.121.170.170:443,2.fvz-rec-ch-zu-01.dnscrypt-cert.meo.ws,A5E8:95E4:A242:923C:470D:105B:80AD:F6AF:2951:A585:D893:0591:53D3:D1B9:8F27:FC53,
opennic-fvz-rec-de-sn-01,"OpenNIC fvz-rec-de-sn-01 in Falkenstein Germany","Fusl s public OpenNIC Tier2 DNS Resolver in Falkenstein Germany","Falkenstein Germany","",http://meo.ws/dnsrec.php,1,no,yes,yes,78.47.34.12:443,2.fvz-rec-de-sn-01.dnscrypt-cert.meo.ws,BFD1:DBB1:25BF:96D0:A360:5292:C127:6B30:ED3E:03A3:E51F:FDD9:370A:1120:EC70:D0F1,
opennic-fvz-rec-fr-rbx-01,"OpenNIC fvz-rec-fr-rbx-01 in Roubaix France","Fusls public OpenNIC Tier2 DNS Resolver in Roubaix France","Roubaix France","",http://meo.ws/dnsrec.php,1,no,yes,yes,37.59.72.228:443,2.fvz-rec-fr-rbx-01.dnscrypt-cert.meo.ws,FAE0:FFB7:E30B:69D6:09FC:FAD3:7126:ECE9:1AA6:E390:1549:89A2:1045:7605:A09C:A0C8,
opennic-fvz-rec-ie-du-01,"OpenNIC fvz-rec-ie-du-01 in Dublin Ireland","Fusl s public OpenNIC Tier2 DNS Resolver in Dublin Ireland","Dublin Ireland","",http://meo.ws/dnsrec.php,1,no,yes,yes,217.78.6.191:443,2.fvz-rec-ie-du-01.dnscrypt-cert.meo.ws,4BCA:0635:7D7A:777C:FE16:64E5:61D9:50DE:35D9:85F4:B14E:43DD:2D98:DCBC:69F3:6EAF,
opennic-fvz-rec-il-ta-01,"OpenNIC fvz-rec-il-ta-01 in Tel Aviv Israel","Fusl s public OpenNIC Tier2 DNS Resolver in Tel Aviv Israel","Tel Aviv Israel","",http://meo.ws/dnsrec.php,1,no,yes,yes,193.182.144.144:443,2.fvz-rec-il-ta-01.dnscrypt-cert.meo.ws,D449:2F9E:B788:1940:18B7:AD4A:AFA6:BB90:3080:08A0:AC45:34A8:3E77:F9AE:3DC2:357F,
opennic-fvz-rec-im-dgl-01,"OpenNIC fvz-rec-im-dgl-01 in Douglas Isle of Man","Fusl s public OpenNIC Tier2 DNS Resolver in Douglas Isle of Man","Douglas Isle of Man","",http://meo.ws/dnsrec.php,1,no,yes,yes,192.71.211.211:443,2.fvz-rec-im-dgl-01.dnscrypt-cert.meo.ws,8C67:31CA:9971:E934:ED55:56BF:5D63:E468:8997:E722:FF27:6D86:2D08:35F6:EA37:2292,
opennic-fvz-rec-is-hf-01,"OpenNIC fvz-rec-is-hf-01 in Hafnarfjordur Iceland","Fusl s public OpenNIC Tier2 DNS Resolver in Hafnarfjordur Iceland","Hafnarfjordur Iceland","",http://meo.ws/dnsrec.php,1,no,yes,yes,192.71.218.218:443,2.fvz-rec-is-hf-01.dnscrypt-cert.meo.ws,EEE9:C4EA:1727:3DAE:C4C9:74CE:B4E3:F713:1BCA:C32A:8FF4:A672:818B:594A:3C7D:D1FB,
opennic-fvz-rec-jp-tk-01,"OpenNIC fvz-rec-jp-tk-01 in Tokyo Japan","Fusl s public OpenNIC Tier2 DNS Resolver in Tokyo Japan","Tokyo Japan","",http://meo.ws/dnsrec.php,1,no,yes,yes,106.185.41.36:443,2.fvz-rec-jp-tk-01.dnscrypt-cert.meo.ws,A45D:3F4A:2F1E:1D22:47C2:2D75:0877:5735:724E:A144:607B:26B0:76DD:F990:CDD1:1411,
opennic-fvz-rec-li-ba-01,"OpenNIC fvz-rec-li-ba-01 in Balzers Liechtenstein","Fusl s public OpenNIC Tier2 DNS Resolver in Balzers Liechtenstein","Balzers Liechtenstein","",http://meo.ws/dnsrec.php,1,no,yes,yes,88.82.109.9:443,2.fvz-rec-li-ba-01.dnscrypt-cert.meo.ws,97C1:5832:7B99:B023:B2D6:58AD:C60C:ADBA:294A:6D7B:82D0:1F40:5249:57C9:3F08:B9AD,
opennic-fvz-rec-nl-fl-01,"OpenNIC fvz-rec-nl-fl-01 in Dronten Netherlands","Fusl s public OpenNIC Tier2 DNS Resolver in Dronten Netherlands","Dronten Netherlands","",http://meo.ws/dnsrec.php,1,no,yes,yes,31.220.43.191:443,2.fvz-rec-nl-fl-01.dnscrypt-cert.meo.ws,EAD5:E575:EBEB:D93C:8D30:48EE:3AE1:A66D:34D0:A4E7:712E:8758:115F:EC81:BCAE:6297,
opennic-fvz-rec-nz-auk-01,"OpenNIC fvz-rec-nz-auk-01 in Auckland New Zealand","Fusl s public OpenNIC Tier2 DNS Resolver in Auckland New Zealand","Auckland New Zealand","",http://meo.ws/dnsrec.php,1,no,yes,yes,163.47.21.44:443,2.fvz-rec-nz-auk-01.dnscrypt-cert.meo.ws,74F2:57B9:AA90:5D56:B186:06C5:520E:CBB6:549F:609B:D87D:472D:10C7:46F6:571F:E76E,
opennic-fvz-rec-ru-mow-01,"OpenNIC fvz-rec-ru-mow-01 in Russia Moscow","Fusl s public OpenNIC Tier2 DNS Resolver in Russia Moscow","Russia Moscow","",http://meo.ws/dnsrec.php,1,no,yes,yes,213.183.57.55:443,2.fvz-rec-ru-mow-01.dnscrypt-cert.meo.ws,3CDA:6127:8201:5CDF:E799:43B4:4E46:2A56:B789:522A:E493:32ED:9029:4114:D375:322D,
opennic-fvz-rec-se-ab-01,"OpenNIC fvz-rec-se-ab-01 in Stockholm Sweden","Fusl s public OpenNIC Tier2 DNS Resolver in Stockholm Sweden","Stockholm Sweden","",http://meo.ws/dnsrec.php,1,no,yes,yes,31.220.5.106:443,2.fvz-rec-se-ab-01.dnscrypt-cert.meo.ws,3FFA:D9E4:AE6F:B96D:C0FC:AB0D:66C5:F329:B40E:533F:4B19:D24B:A4B8:90EC:6CF1:EFE4,
opennic-fvz-rec-sg-ea-01,"OpenNIC fvz-rec-sg-ea-01 in Chai Chee Singapore","Fusl s public OpenNIC Tier2 DNS Resolver in Chai Chee Singapore","Chai Chee Singapore","",http://meo.ws/dnsrec.php,1,no,yes,yes,103.25.202.192:443,2.fvz-rec-sg-ea-01.dnscrypt-cert.meo.ws,3A0D:7AFE:97D6:A42C:5621:F5CD:0484:B1C9:0EC7:DD3E:807E:22D0:D9FC:CB9B:C9B1:97D1,
opennic-fvz-rec-us-ca-01,"OpenNIC fvz-rec-us-ca-01 in Fremont USA","Fusl s public OpenNIC Tier2 DNS Resolver in Fremont USA","Fremont USA","",http://meo.ws/dnsrec.php,1,no,yes,yes,74.207.241.202:443,2.fvz-rec-us-ca-01.dnscrypt-cert.meo.ws,FAC6:3B37:8485:5E43:3CC3:8BBC:FA84:5DCB:8DF0:B683:3BB3:A116:126D:0C29:95CD:899F,
opennic-fvz-rec-us-ca-02,"OpenNIC fvz-rec-us-ca-02 in San Francisco USA","Fusls public OpenNIC Tier2 DNS Resolver in San Francisco USA","San Francisco USA","",http://meo.ws/dnsrec.php,1,no,yes,yes,104.245.33.185:443,2.fvz-rec-us-ca-02.dnscrypt-cert.meo.ws,9DF8:E6F0:2434:C1D2:A76D:578C:113D:26C8:8FAC:9CBB:8E22:86FF:D8A4:4317:467C:5469,
opennic-fvz-rec-us-fl-01,"OpenNIC fvz-rec-us-fl-01 in Orlando USA","Fusls public OpenNIC Tier2 DNS Resolver in Orlando USA","Orlando USA","",http://meo.ws/dnsrec.php,1,no,yes,yes,104.245.39.112:443,2.fvz-rec-us-fl-01.dnscrypt-cert.meo.ws,29A6:76E3:2447:7379:1E5A:D27B:80C3:FD92:C5D0:22EE:289E:4353:3BAB:AF86:3FC5:4672,
opennic-fvz-rec-us-tx-01,"OpenNIC fvz-rec-us-tx-01 in Dallas USA","Fusl s public OpenNIC Tier2 DNS Resolver in Dallas USA","Dallas USA","",http://meo.ws/dnsrec.php,1,no,yes,yes,104.237.136.225:443,2.fvz-rec-us-tx-01.dnscrypt-cert.meo.ws,3AD3:9A08:6E1B:B3FD:8647:7D63:8DCE:68E0:AE98:A270:23D6:193D:CDE9:1198:F635:A34F,
opennic-fvz-rec-us-tx-02,"OpenNIC fvz-rec-us-tx-02 in Dallas USA","Fusls public OpenNIC Tier2 DNS Resolver in Dallas USA","Dallas USA","",http://meo.ws/dnsrec.php,1,no,yes,yes,104.219.55.89:443,2.fvz-rec-us-tx-02.dnscrypt-cert.meo.ws,7A41:1C32:21F6:0062:5EA3:8775:125D:5DA4:8FE3:1709:7919:D170:41C4:7E9A:DBB3:C7C3,
opennic-tumabox,"TumaBox","Public DNS server operated by TumaBox.org","Germany","",http://wiki.tumabox.org/doku.php?id=dns,1,no,yes,no,130.255.73.90:5353,2.tumabox.org,D591:7B11:6A35:3114:C238:AA99:A6EB:0C28:7CF7:6805:41AC:5DBF:A8A0:239E:228C:5B06,
ovpnto-lat,"OpenNIC OVPN.to Latvia","by oVPN.to VPN and Proxy service","Latvia","",https://ovpn.to,1,no,yes,yes,185.61.148.144:5353,2.dnscrypt-cert.latvia.ovpn.to,426A:8A39:300B:6766:5B53:4C04:01D6:9B21:7C08:2B73:05C0:AB51:15D4:919A:2450:98B3,
ovpnto-ro,"OpenNIC OVPN.to Romania","by oVPN.to VPN and Proxy service","Romania","",https://ovpn.to,1,no,yes,yes,93.115.92.252:5353,2.dnscrypt-cert.opennic-dns-ro1.ovpn.to,C665:8FFD:3D64:FC86:DD2C:87D1:0DDA:6069:C0ED:2C71:5E8D:9705:2C21:C12F:8153:EC14,
ovpnto-se,"OpenNIC OVPN.to Sweden","by oVPN.to VPN and Proxy service","Sweden","",https://ovpn.to,1,no,yes,yes,95.215.46.195:5353,2.dnscrypt-cert.sweden.ovpn.to,1014:0662:B5D6:B65B:6F55:4367:A77C:A057:DA1A:CE6A:D9ED:1C1F:040E:80A5:895C:83F5,
securedns,"SecureDNS","Uncensored and no logging","Amsterdam Netherlands","",https://securedns.eu,1,yes,yes,no,146.185.167.43:5353,2.dnscrypt-cert.securedns.eu,B3A5:9769:1457:5B04:89E1:9FAE:9C43:E679:FAF2:8C57:1897:0031:7F7B:B496:291F:B095,2.dnscrypt-cert.securedns.eu
